freq,period,carry_long,carry_short,spot_long,spot_short,total,gross,resid,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
ME,2013-07-31,0.0077558062043346695,6.0429147166918084e-05,-0.013963699121090233,-0.011483966995911357,-0.017631430765500007,-0.0176314307655,-5.5294310796760726e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-08-31,0.005710110224585172,0.00011489012460420494,-0.050713785749830695,0.006343694610336732,-0.03854509079030458,-0.03854509079030459,4.7704895589362195e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-09-30,0.0050351441190358,0.00019003572200223872,0.020416813444396713,-0.02057946398402636,0.005062529301408393,0.00506252930140839,2.439454888092385e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-10-31,0.007535964181727545,0.00042455553916835587,0.011130451663917877,-0.006782195131760361,0.01230877625305342,0.012308776253053422,-2.6020852139652106e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-11-30,0.0075568190764658105,0.0003231881237198564,-0.054598111960621365,0.01496946204269009,-0.03174864271774561,-0.03174864271774561,-2.3987973066241786e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2013-12-31,0.01060381718315329,0.0007092045105918878,-0.03625509709044171,0.005653199510999572,-0.019288875885696964,-0.01928887588569697,8.131516293641283e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2014-01-31,0.013278021033534348,2.4064747339201823e-05,-0.02997169662524214,0.019897685116100083,0.003228074271731495,0.0032280742717314954,-2.2768245622195593e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2014-02-28,0.009204382717285116,2.4868308768480493e-05,0.020851672403849927,-0.02953953963847368,0.0005413837914298395,0.0005413837914298395,7.589415207398531e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2014-03-31,0.013003546928903813,1.2802063850636982e-05,0.03211330362078256,0.003355031409865277,0.04848468402340229,0.04848468402340229,1.0842021724855044e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2014-04-30,0.012245636020623977,4.441309721665581e-06,-0.0031247954368071847,-0.016013227144764792,-0.006887945251226335,-0.0068879452512263335,-1.3010426069826053e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
